"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AADAC",281.149950935192,-6.78436821381722,1.18824979081567,-4.86797326498711,1.12748578477985e-06,0.000134372978253659
"ACACB",20934.4242554714,-5.18996150712534,0.955604407222773,-4.38461927912454,1.16188805222213e-05,0.000953051483207824
"ADH1A",1129.85774853476,-8.59998323771456,1.26915279139963,-5.98823348080358,2.12132397078691e-09,6.43133325248572e-07
"ADH1B",121455.243509556,-7.89878996368322,1.4401177967014,-4.79043449048749,1.66420551456248e-06,0.000190457850974532
"ADH1C",639.461889115021,-5.74549508354831,0.954157452318223,-4.97349265786129,6.57572654897746e-07,8.54399477390071e-05
"ADRA1A",134.885667454895,-5.99259793861809,0.963551750403451,-5.18145282443587,2.20164276397543e-07,3.56979334417621e-05
"ADRB2",745.534635806452,-4.34414011933998,0.799041967673618,-4.18518707981801,2.84931337318434e-05,0.00201799116401634
"ABCD2",1515.18307558519,-6.45113849071102,0.988061674819836,-5.51700225768294,3.44831006213157e-08,7.54306913717666e-06
"ANGPT1",1271.08965962945,-3.73879005255591,0.630743600679226,-4.34216066497798,1.41088294997681e-05,0.00111841597516281
"ANK2",3490.9282083904,-3.12994660454621,0.54821189847118,-3.88526153935381,0.00010221978407039,0.0057727453873216
"AOX1",2219.04674833068,-4.20812537499006,0.585046165759552,-5.48354226170345,4.168926254494e-08,8.67990537396515e-06
"APLP1",461.212816450921,4.01292489122335,0.593480686268521,5.07670251270848,3.84041443853743e-07,5.624254399353e-05
"APOB",786.311864964263,-6.93796679592045,1.03607113085277,-5.73123467983613,9.97022087140989e-09,2.53375568939462e-06
"AQP7",5638.39472753208,-8.18929863420577,1.06026844231708,-6.78064002215746,1.1964465355601e-11,9.57658717037892e-09
"ASPA",331.311076963058,-5.44378088703379,0.813481486054481,-5.46266997247455,4.69026084272402e-08,9.53557619095456e-06
"ATP1A2",5050.25301489267,-8.28626419843324,0.789972613977136,-9.22343897689108,2.87721100142163e-20,2.48605416577836e-16
"KIF1A",486.85875495772,5.55411782845015,1.18249071811636,3.8512926644402,0.000117495982163325,0.00640519895193821
"BMP3",206.472552960009,-5.63390271764195,1.0860348518194,-4.26680848213934,1.98289243801608e-05,0.00151621080625468
"BUB1",1267.38529933137,5.13328884073145,0.951452002141668,4.34419059650685,1.39790110342561e-05,0.00111323174969115
"BUB1B",818.379924736921,4.30918730175662,0.879048975447556,3.76450845650755,0.00016687702111744,0.0081463327738149
